rep,col_config,sweep_type,n_cols,n_folds,auc_mean,auc_se,ap_mean,ap_se,logloss_mean,logloss_se,brier_mean,brier_se,bss_mean,bss_se
minilm,back2,back,2,100,0.9514954011799257,0.001502521399726762,0.7613254053903958,0.0038678579077916267,0.09633752646592304,0.0020431684713318257,0.021549093958873708,0.00019224751012789708,0.5324401025975508,0.00415900579155311
minilm,back3,back,3,100,0.9640954640844069,0.000983145328148019,0.8020725246373588,0.003519043144659001,0.07861328897068863,0.0007177592134622194,0.019625158231749075,0.00017444443340084096,0.5741716464110266,0.0037994832380113565
minilm,back4,back,4,100,0.9645711449720764,0.0010577581452128968,0.8077762012217778,0.0035141649232758366,0.07841475294485867,0.0008373653031819904,0.019421037175272795,0.00017518267098881696,0.5785965535003443,0.0038189935243069864
minilm,back5,back,5,100,0.9643996387439977,0.000989779290849709,0.8058917147624665,0.0034879741479803563,0.07824084441365917,0.0007182329362701932,0.019469132413368034,0.00017535697300217378,0.5775534473935927,0.003823824058168817
minilm,back6,back,6,100,0.9658758020372399,0.0009228368435300312,0.8071386143361522,0.0035206120979621516,0.07851662393696682,0.0007287427860975517,0.01961658255718395,0.00017134920498773363,0.5743506801014173,0.003740109164829816
minilm,back7,back,7,100,0.9660628857169185,0.000972556869803544,0.8047429978907341,0.003458750186242647,0.07838721023023759,0.0006780333322256615,0.019788662226635622,0.0001716209043355112,0.5706150367664058,0.003748148622743042
minilm,full,full,7,100,0.9697014095484191,0.000913947692072155,0.8149699140082745,0.0032403911352234895,0.07947141944396882,0.0010115960981487938,0.01978340642834315,0.0001644178494024148,0.5707189069355683,0.0035999796721081015
minilm,fwd2,fwd,2,100,0.9551017498278283,0.0011426407642206493,0.75777313300852,0.004064068289343343,0.09025265921836104,0.000752788566983275,0.022801660925444,0.00017507502599795895,0.5052499526903965,0.0038043225724729854
minilm,fwd3,fwd,3,100,0.9536057938154839,0.0011521113094394987,0.7598803862478455,0.00403487963962115,0.09087016833666008,0.0008504977846839814,0.022618278318038625,0.00017913256452364526,0.5092212976003633,0.003903074974398677
minilm,fwd4,fwd,4,100,0.977485399671356,0.0005383089500629798,0.8235704145137437,0.002972287943885625,0.07340381008482433,0.00045341435617967014,0.01933518105967219,0.00015626773567986444,0.5804382215182735,0.003428443248688113
minilm,fwd5,fwd,5,100,0.9689835566103843,0.0008786705565836037,0.8165127900356353,0.0029396786390456595,0.07869509796926008,0.0007813120650730706,0.019616383680317765,0.00015027432565961458,0.5743413556078635,0.003295741517946216
minilm,fwd6,fwd,6,100,0.9687280243301732,0.0008199488826999233,0.8100847502183645,0.0030533514638285313,0.07957061500283029,0.0007373682809513329,0.020026126295484635,0.00015477042102466547,0.5654514234449235,0.003393059218226043
minilm,title,individual,1,100,0.9584927984256969,0.0012183693012521085,0.7942629375854017,0.0033295493708529918,0.0839735375293468,0.0011508101277027817,0.019900934924368154,0.00016803085698450902,0.5681852537278953,0.0036595114910658705
minilm,location,individual,2,100,0.9620299651683862,0.0010474427749982526,0.7745636985676596,0.0034091721082309795,0.08969865453432037,0.0015781276983107338,0.02106345637235811,0.0001571600440047783,0.5429545154787985,0.0034259633957965468
minilm,department,individual,3,100,0.9428969270345352,0.001417930845229108,0.7327237786895365,0.004212043073684816,0.11700648723658738,0.0024871825691181724,0.02185506496001061,0.0002002543890089107,0.5257695983029265,0.004368150271930273
minilm,company_profile,individual,4,100,0.9816212616163189,0.000679231804565924,0.8294530442052599,0.003096605489966853,0.06777306695669448,0.0016297974128715483,0.016786670882112203,0.00016204869511296735,0.6357513024680496,0.003529952734136847
minilm,description,individual,5,100,0.9650625960713972,0.0008625222950623566,0.8100302376579005,0.002986916416483837,0.07659522158583615,0.0006184356628867636,0.019129257681596127,0.00015900828884294157,0.5849280452722304,0.003463454839137135
minilm,requirements,individual,6,100,0.9490366398766027,0.0017131799325327702,0.7637171157544961,0.004100238544338419,0.09768039583389315,0.002235364828314165,0.021247508983418074,0.00020490304935984785,0.5389710091271622,0.004447867675732979
minilm,benefits,individual,7,100,0.9468419656408834,0.0013885795325768002,0.743001782477628,0.00403598941272639,0.1035593664291333,0.0025040647623515103,0.021840247184285087,0.00024210969355792535,0.5261438151139293,0.005212255267591396
